BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
2,0,Hot Water Rad,N,2.0,8,5,1900.0,2012.0,1963,3.0,2012-05-08 00:00:00,960750.0,Q,1,2602.0,1,3 Story,Row Inside,Good Quality,Average,Common Brick,Built Up,Hardwood,2.0,2,24,1800,2018-07-22 18:01:43,Residential,,,1339 T STREET NW,WASHINGTON,DC,20009.0,18S UJ 23912 09390,38.91576783,-77.03104987,Old City 2,040 E Old City 2,4400.0,004400 2008,Ward 1,237.0,-77.03073917141384,38.91638829658692,NW
3,1,Warm Cool,Y,1.0,6,3,1959.0,2009.0,1978,3.0,2016-10-07 00:00:00,,U,3,2108.0,1,3 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,1,11,1768,2018-07-22 18:01:43,Residential,,,2514 I STREET NW,WASHINGTON,DC,20037.0,18S UJ 21890 07732,38.90042136,-77.05391975,Foggy Bottom,,5600.0,005600 2000,Ward 2,17.0,-77.05387180438969,38.900447570720594,NW
3,1,Forced Air,Y,1.0,7,3,1923.0,2007.0,1964,2.0,2008-10-03 00:00:00,455000.0,Q,1,1630.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1.0,1,11,1700,2018-07-22 18:01:43,Residential,,,4917 9TH STREET NW,WASHINGTON,DC,20011.0,18S UJ 24501 13220,38.95037336,-77.02524140000001,Petworth,042 B Petworth,2201.0,002201 3004,Ward 4,3009.0,-77.02468450583922,38.950308978426406,NW
1,0,Forced Air,Y,,4,1,2006.0,,2006,,2017-10-10 00:00:00,450000.0,Q,5,,1,,,,,,,,,0,17,421,2018-07-22 18:01:38,Condominium,1855.0,733.0,,,,20001.0,,38.91731411,-77.01385054,Ledroit Park,031 B Ledroit Park,3301.0,,Ward 5,3115.0,-77.0138528241697,38.91732156996624,NW
2,0,Warm Cool,Y,1.0,5,3,2005.0,,2009,2.0,2004-11-18 00:00:00,146690.0,Q,1,1088.0,1,2 Story,Semi-Detached,Above Average,Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1.0,0,13,2737,2018-07-22 18:01:43,Residential,,,1890 ALABAMA AVENUE SE,WASHINGTON,DC,20020.0,18S UJ 28481 02031,38.85043169,-76.97652128,Randle Heights,043 D Randle Heights,7404.0,007404 1008,Ward 8,5882.0,-76.9775578583487,38.84996892952511,SE
4,0,Hot Water Rad,N,4.0,16,4,1935.0,,1943,2.0,2001-06-21 00:00:00,96000.0,U,1,2800.0,1,2 Story,Multi,Average,Average,Common Brick,Built Up,Hardwood,4.0,0,23,3777,2018-07-22 18:01:43,Residential,,,4831 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20011.0,18S UJ 25465 13114,38.94961044,-77.0140931,Petworth,042 C Petworth,2202.0,002202 1001,Ward 4,3401.0,-77.01059369978087,38.95116451020996,NW
2,1,Warm Cool,Y,,6,3,1979.0,,1979,,,,U,1,,1,,,,,,,,,0,16,3129,2018-07-22 18:01:38,Condominium,3032.0,1881.0,,,,20018.0,,38.92593807,-76.96284164,Fort Lincoln,,9000.0,,Ward 5,4326.0,-76.96284390490514,38.92594552939342,NE
2,1,Warm Cool,Y,1.0,6,3,1987.0,,1989,2.0,,,U,1,1400.0,1,2 Story,Row End,Above Average,Average,Brick/Siding,Comp Shingle,Wood Floor,1.0,1,11,2708,2018-07-22 18:01:43,Residential,,,1814 VALLEY TERRACE SE,WASHINGTON,DC,20032.0,18S UJ 28352 00915,38.84031878,-76.97774408,Randle Heights,043 C Randle Heights,7304.0,007304 1012,Ward 8,5905.0,-76.97721797584744,38.84105951138904,SE
2,0,Forced Air,N,1.0,7,3,1930.0,,1957,2.0,2008-01-18 00:00:00,319999.0,Q,1,1348.0,1,2 Story,Single,Above Average,Average,Brick/Stucco,Comp Shingle,Hardwood,1.0,1,12,2684,2018-07-22 18:01:43,Residential,,,1927 HAMLIN STREET NE,WASHINGTON,DC,20018.0,18S UJ 28650 10593,38.92753433,-76.97673024,Woodridge,056 C Woodridge,11100.0,011100 2019,Ward 5,4210.0,-76.97734005567686,38.92751531209213,NE
1,0,Ht Pump,Y,,3,1,2005.0,,2005,,2014-05-09 00:00:00,445000.0,Q,3,,1,,,,,,,,,0,17,10,2018-07-22 18:01:38,Condominium,3075.0,793.0,,,,20001.0,,38.89901325,-77.02148864,Central-tri 3,,5800.0,,Ward 2,455.0,-77.02149092892931,38.899020698514,NW
2,0,Warm Cool,Y,1.0,7,3,1939.0,,1954,2.0,,,U,1,1181.0,1,2 Story,Single,Very Good,Average,Common Brick,Comp Shingle,Hardwood,1.0,1,12,5007,2018-07-22 18:01:43,Residential,,,4922 ESKRIDGE TERRACE NW,WASHINGTON,DC,20016.0,18S UJ 18058 10858,38.92779296,-77.09891126,Kent,030 C Kent,902.0,000902 1005,Ward 3,1423.0,-77.09904715112779,38.92708249464118,NW
2,0,Warm Cool,Y,,5,2,1986.0,,1986,,1999-03-01 00:00:00,,U,1,,1,,,,,,,,,0,16,479,2018-07-22 18:01:38,Condominium,2390.0,928.0,,,,20007.0,,38.905729705,-77.056573575,Georgetown,025 J Georgetown,100.0,,Ward 2,1214.0,-77.05657586694403,38.90573715757482,NW
2,1,Hot Water Rad,Y,1.0,7,4,1917.0,2017.0,1969,2.0,2017-03-20 00:00:00,1050000.0,Q,4,1824.0,1,2 Story,Semi-Detached,Good Quality,Good,Wood Siding,Metal- Sms,Hardwood,1.0,1,13,3900,2018-07-22 18:01:43,Residential,,,3914 MCKINLEY STREET NW,WASHINGTON,DC,20015.0,18S UJ 19941 14911,38.96467834,-77.07827432,Chevy Chase,011 A Chevy Chase,1100.0,001100 1006,Ward 3,1747.0,-77.07857729218006,38.96457397162123,NW
2,0,Forced Air,Y,,4,2,2004.0,2004.0,2004,,2012-06-14 00:00:00,554200.0,Q,1,,1,,,,,,,,,0,17,209,2018-07-22 18:01:38,Condominium,2637.0,1020.0,,,,20005.0,,38.90625234,-77.03000597,Old City 2,040 C Old City 2,5002.0,,Ward 2,245.0,-77.03000826234306,38.90625979043767,NW
2,1,Hot Water Rad,N,1.0,6,3,1931.0,1975.0,1957,2.0,,,U,1,1462.0,1,2 Story,Single,Good Quality,Average,Common Brick,Clay Tile,Hardwood,1.0,1,12,5512,2018-07-22 18:01:43,Residential,,,6101 UTAH AVENUE NW,WASHINGTON,DC,20015.0,18S UJ 21374 15483,38.97012211,-77.06189069,Chevy Chase,011 D Chevy Chase,1500.0,001500 3006,Ward 4,2335.0,-77.06060435894909,38.9715992221389,NW
4,1,Warm Cool,Y,1.0,9,4,1909.0,2017.0,1988,2.5,2016-12-16 00:00:00,1750000.0,Q,2,2485.0,1,2.5 Story Fin,Single,Excellent,Good,Stucco,Comp Shingle,Default,1.0,1,12,5226,2018-07-22 18:01:43,Residential,,,3031 MACOMB STREET NW,WASHINGTON,DC,20008.0,18S UJ 21349 11435,38.93366207,-77.06112285,Cleveland Park,,600.0,000600 2005,Ward 3,2082.0,-77.05976492597185,38.933980503606136,NW
